Theta,Phi,x,y,z
1.574983,0.167818,-0.000699,0.167030,0.985952
3.074979,2.301712,-0.742912,0.049561,-0.667552
3.943605,1.063656,-0.607754,-0.628292,0.485679
1.293017,1.289160,0.263417,0.923779,0.277928
4.000240,1.749223,-0.643088,-0.744942,-0.177481
2.218386,2.407264,-0.404242,0.534423,-0.742281
3.937491,1.521165,-0.698782,-0.713612,0.049611
2.995513,1.122246,-0.891480,0.131161,0.433660
2.566373,1.696450,-0.832458,0.539730,-0.125323
5.786592,1.184366,0.814378,-0.441301,0.376885
3.897241,2.508136,-0.430826,-0.405925,-0.805986
2.822297,0.224962,-0.211795,0.070021,0.974803
0.395081,1.140990,0.839018,0.349876,0.416695
1.611115,1.397033,-0.039700,0.984141,0.172890
5.899809,2.980829,0.148452,-0.059876,-0.987105
0.858708,1.991680,0.596391,0.690934,-0.408567
1.932044,2.571987,-0.190611,0.504492,-0.842114
3.181798,1.216343,-0.937078,-0.037696,0.347078
1.998983,1.065539,-0.363340,0.796050,0.484033
1.761259,2.321687,-0.138404,0.717861,-0.682290
1.410335,0.635989,0.094902,0.586343,0.804485
2.269387,0.811307,-0.466397,0.555312,0.688551
1.032052,0.948778,0.416965,0.697587,0.582677
1.892607,1.825425,-0.306087,0.918076,-0.251886
4.405600,0.790164,-0.214561,-0.677295,0.703729
0.794600,0.153333,0.107000,0.108988,0.988267
5.698474,1.780574,0.815591,-0.539858,-0.208243
5.446901,1.771863,0.656723,-0.727206,-0.199715
2.681539,1.595281,-0.895760,0.443863,-0.024482
2.048153,2.584261,-0.243005,0.469797,-0.848669
4.782643,2.591608,0.036690,-0.521385,-0.852533
3.638358,1.376810,-0.862640,-0.467645,0.192772
2.043917,0.423422,-0.187225,0.365747,0.911688
5.169568,0.866438,0.336373,-0.683768,0.647545
0.785084,1.622254,0.706393,0.705949,-0.051435
6.195461,1.859316,0.954980,-0.083991,-0.284533
1.081466,0.615297,0.271305,0.509466,0.816602
1.943647,2.021472,-0.327900,0.838306,-0.435574
3.423247,1.458659,-0.954564,-0.276199,0.111902
0.466785,1.930111,0.835990,0.421279,-0.351632
2.893816,0.491077,-0.457174,0.115654,0.881826
0.070542,1.233870,0.941428,0.066521,0.330587
0.576716,2.646679,0.398135,0.258981,-0.880010
1.493745,0.904619,0.060517,0.783857,0.617985
3.447469,1.670751,-0.948824,-0.299626,-0.099788
3.683761,1.524342,-0.855668,-0.515438,0.046437
2.245034,1.494843,-0.622502,0.778931,0.075881
3.602130,1.648158,-0.893135,-0.443100,-0.077285
2.880752,1.355487,-0.943865,0.251938,0.213649
2.966513,2.189991,-0.801897,0.141848,-0.580380
3.985334,1.845201,-0.639804,-0.719182,-0.270974
5.008155,2.092781,0.252657,-0.829193,-0.498601
0.418413,2.536477,0.519785,0.231133,-0.822436
0.682824,1.100421,0.691541,0.562460,0.453221
4.868754,1.257911,0.148168,-0.939842,0.307805
0.177986,1.041802,0.849676,0.152848,0.504666
3.866129,1.368207,-0.733493,-0.649233,0.201207
6.102411,1.836951,0.949068,-0.173460,-0.263024
6.067569,2.759414,0.364307,-0.079791,-0.927854
1.210601,2.126623,0.299400,0.794952,-0.527646
0.273398,2.012547,0.870429,0.244086,-0.427523
5.216306,0.241366,0.115418,-0.209318,0.971012
2.216851,0.850127,-0.452352,0.599938,0.659888
1.119189,1.695779,0.433008,0.892729,-0.124657
2.927524,1.809538,-0.949459,0.206412,-0.236480
2.815276,2.495767,-0.570097,0.192929,-0.798603
4.891126,1.701373,0.176273,-0.975692,-0.130205
2.226429,1.658328,-0.607327,0.789627,-0.087420
5.201923,0.819581,0.343661,-0.645022,0.682527
1.544197,1.310603,0.025701,0.965999,0.257267
4.363361,0.791356,-0.243256,-0.668419,0.702881
5.318083,1.604144,0.569017,-0.821650,-0.033342
3.137896,0.917163,-0.793874,0.002934,0.608075
1.968015,2.764387,-0.142488,0.339646,-0.929698
0.893534,1.834522,0.604995,0.752348,-0.260679
2.971840,0.761420,-0.680033,0.116559,0.723857
1.111310,1.875314,0.423084,0.855044,-0.299833
4.265102,1.157275,-0.396065,-0.825627,0.401836
3.440260,2.058979,-0.844087,-0.259875,-0.469022
5.192033,0.854848,0.348161,-0.669336,0.656334
3.991075,1.352268,-0.644667,-0.733080,0.216793
1.168249,2.836239,0.117776,0.276600,-0.953741
1.576750,1.925894,-0.005582,0.937596,-0.347682
4.511196,1.978544,-0.183455,-0.899499,-0.396542
2.426920,3.019406,-0.092059,0.079879,-0.992544
4.121630,0.992653,-0.466468,-0.695541,0.546470
2.010051,1.617978,-0.424792,0.904062,-0.047164
2.462506,0.342725,-0.261500,0.211070,0.941842
1.560887,0.956781,0.008099,0.817301,0.576154
0.253146,1.989780,0.884389,0.228788,-0.406832
5.376704,2.590603,0.322767,-0.412196,-0.852007
1.242048,2.532448,0.184729,0.541525,-0.820138
0.067484,0.549503,0.521074,0.035217,0.852784
1.162285,2.238249,0.311995,0.720773,-0.618988
3.773099,2.386765,-0.553022,-0.404493,-0.728390
6.241549,2.174163,0.822716,-0.034275,-0.567418
1.032183,1.427180,0.507665,0.849583,0.143123
1.757120,1.211025,-0.173387,0.919777,0.352060
0.030991,1.168493,0.919720,0.028512,0.391539
2.972232,0.510972,-0.482029,0.082426,0.872270
1.655132,1.493919,-0.083987,0.993503,0.076802
0.411762,1.993661,0.835696,0.364972,-0.410374
1.416137,1.338763,0.149915,0.961585,0.229957
6.080807,1.022795,0.836147,-0.171566,0.520983
5.941470,2.395009,0.639869,-0.227581,-0.734013
5.815853,1.936657,0.833686,-0.420690,-0.357753
4.299038,1.839847,-0.387230,-0.882833,-0.265817
4.845553,2.272620,0.101392,-0.756905,-0.645612
4.690952,2.792213,-0.007338,-0.342237,-0.939585
2.570864,2.368912,-0.587420,0.377122,-0.716042
6.120849,2.205606,0.794598,-0.130137,-0.593025
1.105054,2.100877,0.387456,0.770872,-0.505603
5.706697,2.614272,0.421891,-0.274296,-0.864158
0.475886,1.796689,0.866305,0.446487,-0.223977
2.293840,2.327112,-0.481278,0.545378,-0.686247
